Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
719p.txt	1	167	60.12	54.76	8.01	80.14	167.00	7.19	61.08	17.37	6.59	4.79	2.99	1.20	0.00	0.60	0.00	1.80	0.00	0.00	7.19	0.60	0.60	2.40	20.36	1.20	0.00	0.00	6.59	0.00	8.38	5.39	2.40	0.00	0.60	0.00	7.19	0.00	0.00	0.00	0.60	8.38	1.80	1.20	0.60	0.60	2.40	1.80	4.79	2.40	2.40	0.00	1.80	1.80	0.00	0.00	0.00	8.38	1.20	4.19	2.99	0.60	1.20	0.60	17.37	0.60	7.19	1.80	2.99	2.40	1.80	0.60	0.00	0.00	1.80	0.00	1.20	0.00	0.60	0.00	0.60	0.00	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.59
830p.txt	1	136	17.88	10.58	61.77	53.41	136.00	7.35	75.00	34.56	9.56	8.09	7.35	0.00	0.00	0.74	0.00	1.47	0.00	0.74	14.71	1.47	0.74	8.09	25.74	3.68	1.47	0.00	0.00	0.74	4.41	2.94	1.47	0.00	0.00	1.47	9.56	0.74	0.00	1.47	2.94	15.44	1.47	1.47	0.74	5.15	0.00	6.62	3.68	1.47	1.47	0.74	2.21	0.74	0.74	0.00	1.47	11.76	0.00	5.15	0.74	5.88	0.74	0.00	30.15	0.00	8.82	4.41	2.21	2.94	0.00	1.47	0.00	0.00	0.00	0.00	2.94	0.00	0.00	0.00	0.74	0.00	18.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.38
133p.txt	1	203	33.04	61.64	19.15	71.95	203.00	3.94	80.79	31.03	12.81	12.81	10.34	0.00	2.46	0.00	0.00	0.00	0.00	1.97	8.37	1.48	3.45	2.96	23.15	2.46	0.00	0.00	0.00	0.99	10.34	6.40	3.94	0.00	0.00	3.94	16.75	9.36	0.00	0.00	0.49	12.32	0.00	3.45	5.42	0.00	0.49	2.96	4.93	4.43	0.00	0.49	7.39	1.97	0.99	0.00	0.00	9.36	4.43	0.49	0.49	4.43	0.00	0.00	26.11	0.00	7.88	4.93	2.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.91	0.00	2.96	0.00	5.91	0.00	11.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.33
099p.txt	1	327	34.30	9.44	99.00	99.00	327.00	10.40	84.10	32.72	10.40	8.26	7.03	0.92	0.31	0.00	0.00	2.14	0.00	5.50	9.17	6.42	0.31	5.81	38.23	1.83	0.00	0.31	0.00	0.61	11.62	11.01	0.61	0.00	0.00	0.61	3.06	0.00	0.00	0.00	0.00	31.50	20.18	0.61	3.06	1.53	1.53	4.59	0.31	0.31	0.00	0.00	0.31	0.00	0.31	0.00	0.00	6.42	1.22	2.14	0.92	1.83	0.92	0.00	31.50	1.53	7.65	4.59	2.14	1.83	0.31	0.61	0.00	1.53	0.00	0.00	7.65	0.00	0.00	6.12	5.50	0.00	12.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.54
563p.txt	1	167	48.27	94.69	45.74	70.81	167.00	14.37	83.83	28.14	11.98	5.39	0.00	1.80	0.00	2.40	1.20	6.59	0.00	4.19	6.59	5.39	0.60	1.20	29.94	1.20	0.00	0.00	0.00	0.00	4.79	3.59	1.20	0.00	0.00	0.00	15.57	0.00	0.00	0.60	2.40	16.77	8.38	0.60	0.00	5.99	1.80	0.00	6.59	2.40	3.59	0.00	1.20	1.20	0.00	0.00	0.00	11.98	1.80	0.60	1.20	7.78	0.60	2.40	25.75	1.80	14.37	4.19	8.38	1.80	0.60	8.38	0.00	0.00	0.00	0.00	10.78	0.00	9.58	0.00	10.78	0.00	1.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.20
426p.txt	1	132	64.08	81.84	8.80	68.66	132.00	27.27	71.21	15.91	6.06	6.06	3.03	3.03	0.00	0.00	0.00	0.00	0.00	0.00	4.55	3.03	0.00	2.27	22.73	8.33	3.03	0.00	3.79	1.52	20.45	11.36	9.09	0.00	1.52	1.52	12.88	0.00	0.76	0.00	0.00	6.82	0.00	0.00	3.03	0.00	3.79	0.00	6.82	0.00	3.03	0.00	4.55	0.76	0.00	0.76	3.03	20.45	8.33	4.55	6.06	4.55	1.52	0.00	24.24	1.52	12.88	5.30	6.06	3.03	0.00	0.00	0.00	0.00	1.52	0.00	3.03	1.52	1.52	0.00	1.52	0.00	3.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.03
534p.txt	1	58	36.27	99.00	59.31	99.00	58.00	18.97	96.55	46.55	17.24	13.79	0.00	13.79	0.00	0.00	0.00	3.45	0.00	10.34	15.52	3.45	0.00	0.00	39.66	3.45	0.00	3.45	0.00	0.00	10.34	10.34	0.00	0.00	0.00	0.00	22.41	6.90	0.00	0.00	6.90	17.24	13.79	3.45	0.00	0.00	0.00	0.00	6.90	6.90	0.00	0.00	3.45	0.00	3.45	0.00	0.00	20.69	18.97	1.72	1.72	0.00	0.00	0.00	24.14	15.52	8.62	3.45	5.17	0.00	0.00	0.00	1.72	0.00	1.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
164p.txt	1	184	52.40	68.75	80.16	56.57	184.00	8.70	82.61	23.37	5.98	2.17	0.54	0.54	0.00	0.00	1.09	3.80	0.54	1.63	6.52	5.43	0.00	4.35	18.48	2.17	2.17	0.00	2.17	0.54	2.72	2.17	0.54	0.00	0.00	0.00	12.50	0.00	1.09	0.00	5.43	17.93	6.52	2.72	0.54	1.09	4.89	3.26	2.72	0.54	2.17	0.00	6.52	0.00	0.00	0.00	6.52	13.04	2.17	1.09	8.70	2.17	0.00	1.09	17.39	0.54	16.30	1.63	9.78	4.89	8.15	1.09	4.35	0.54	0.00	0.54	3.80	0.00	0.00	1.09	2.17	0.54	7.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.07
888p.txt	1	120	83.17	36.95	94.93	14.30	120.00	11.67	80.83	19.17	3.33	2.50	2.50	0.00	0.00	0.00	0.00	0.83	2.50	4.17	5.00	3.33	0.00	2.50	25.83	8.33	0.83	0.83	0.00	0.00	14.17	6.67	7.50	0.00	0.83	5.00	3.33	0.00	0.00	0.00	0.00	18.33	7.50	2.50	1.67	5.00	1.67	1.67	5.83	5.00	0.00	0.83	5.83	1.67	2.50	0.00	0.00	5.00	2.50	0.83	0.00	0.83	0.83	5.83	19.17	0.00	20.83	3.33	9.17	8.33	0.00	0.00	3.33	0.83	3.33	3.33	0.83	0.00	0.00	0.00	0.83	0.00	3.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.33
471p.txt	1	94	79.18	70.27	37.87	1.00	94.00	20.21	71.28	17.02	4.26	3.19	1.06	1.06	0.00	1.06	0.00	1.06	0.00	4.26	6.38	2.13	0.00	1.06	22.34	2.13	2.13	0.00	0.00	0.00	8.51	2.13	6.38	0.00	0.00	5.32	8.51	0.00	0.00	1.06	0.00	8.51	2.13	0.00	1.06	3.19	1.06	2.13	10.64	4.26	3.19	3.19	9.57	1.06	5.32	0.00	3.19	8.51	5.32	2.13	1.06	0.00	1.06	3.19	17.02	1.06	15.96	0.00	8.51	7.45	4.26	4.26	4.26	1.06	0.00	1.06	4.26	0.00	0.00	1.06	3.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
021p.txt	1	211	60.95	71.52	5.45	95.70	211.00	15.17	91.47	26.54	7.58	4.27	3.32	0.00	0.00	0.95	0.00	3.32	0.47	4.27	6.16	3.79	4.27	0.00	13.74	3.79	2.84	0.95	0.95	0.95	6.64	5.69	0.95	0.00	0.47	0.47	9.00	0.00	1.90	0.00	3.79	6.16	0.00	4.74	0.00	1.42	0.00	0.00	3.32	0.00	1.90	1.42	36.49	5.21	14.69	12.32	1.90	9.95	2.84	0.95	1.42	5.69	0.00	0.95	11.85	0.95	9.00	2.37	0.95	5.69	2.37	2.37	0.00	3.32	0.00	0.00	7.11	0.00	0.47	1.90	3.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
308p.txt	1	133	91.75	46.99	99.00	89.05	133.00	16.54	84.21	9.02	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0.00	0.00	4.51	1.50	3.01	0.00	0.75	15.79	21.05	2.26	0.00	0.75	1.50	3.76	3.76	0.00	0.00	0.00	0.00	0.75	0.00	0.00	0.00	0.00	14.29	0.00	10.53	0.75	0.75	2.26	0.00	16.54	15.04	0.75	0.75	3.01	1.50	1.50	0.00	0.00	5.26	0.00	0.00	2.26	3.01	0.00	1.50	12.03	0.00	48.12	33.83	7.52	21.80	0.00	0.00	0.00	0.00	0.00	0.00	6.02	0.00	0.00	2.26	3.76	0.00	1.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.50
758p.txt	1	229	87.56	72.95	4.67	74.55	229.00	6.99	44.98	10.04	2.18	0.44	0.00	0.00	0.44	0.00	0.00	1.75	2.18	0.44	1.75	1.31	0.00	2.18	4.80	0.00	0.00	0.00	0.87	0.00	2.62	2.62	0.00	0.00	0.00	0.00	9.61	0.00	0.00	1.75	1.75	1.75	0.00	0.00	0.00	0.00	0.00	1.75	1.31	0.00	1.31	0.00	0.00	0.00	0.00	0.00	0.00	2.62	2.62	0.00	0.00	0.00	0.00	0.00	6.55	0.00	9.17	4.37	1.75	4.37	0.00	1.31	0.00	0.00	0.44	3.06	14.41	0.00	2.18	0.00	12.23	0.00	9.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.17
236p.txt	1	82	57.53	83.54	14.43	99.00	82.00	36.59	82.93	18.29	10.98	4.88	4.88	0.00	0.00	0.00	0.00	6.10	0.00	0.00	7.32	0.00	0.00	0.00	21.95	2.44	0.00	0.00	0.00	0.00	32.93	32.93	0.00	0.00	0.00	0.00	14.63	2.44	0.00	0.00	0.00	15.85	9.76	0.00	0.00	0.00	6.10	0.00	41.46	29.27	0.00	12.20	15.85	0.00	9.76	0.00	0.00	10.98	6.10	0.00	0.00	4.88	0.00	0.00	19.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
666p.txt	1	129	41.30	67.90	1.00	14.96	129.00	17.05	67.44	19.38	0.78	0.78	0.00	0.00	0.78	0.00	0.00	0.00	0.00	0.78	8.53	9.30	0.78	5.43	25.58	0.78	0.78	0.00	0.78	0.00	10.08	4.65	5.43	0.00	5.43	0.00	14.73	0.00	0.00	6.20	0.00	17.83	0.78	1.55	8.53	1.55	5.43	0.00	4.65	4.65	0.00	0.00	5.43	5.43	0.00	0.00	0.00	8.53	0.00	1.55	3.88	3.10	0.00	1.55	11.63	0.00	14.73	4.65	3.88	6.20	0.00	0.00	0.00	0.00	0.00	0.00	10.85	5.43	0.00	1.55	3.88	0.00	13.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.18
689p.txt	1	154	71.53	67.52	82.57	94.75	154.00	24.03	81.82	13.64	5.84	3.25	1.95	0.00	0.65	0.00	0.65	2.60	0.00	0.65	3.25	3.25	0.65	0.65	18.18	7.14	2.60	0.65	1.95	11.04	10.39	7.14	2.60	0.00	0.00	0.65	7.14	0.65	0.65	0.00	1.30	10.39	3.25	2.60	1.30	2.60	2.60	0.65	3.90	1.30	0.65	1.30	9.74	2.60	2.60	0.00	7.79	5.19	1.30	1.30	1.30	1.30	0.00	0.65	16.23	1.95	22.08	3.25	16.23	4.55	1.30	2.60	0.00	0.65	0.00	0.00	0.65	0.00	0.65	0.00	0.00	0.00	2.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.60
723p.txt	1	206	76.84	88.74	67.87	53.13	206.00	12.14	73.79	15.53	3.40	2.91	0.00	0.00	0.00	1.94	0.97	0.49	0.00	2.43	3.88	3.88	1.94	0.00	17.48	2.43	0.00	0.00	2.43	0.97	4.37	2.91	1.46	0.49	0.49	0.49	12.14	0.00	0.49	0.00	5.34	6.31	0.00	1.46	0.49	1.94	2.43	0.00	3.40	1.46	0.97	0.97	12.62	7.28	0.49	0.00	4.85	8.74	2.43	0.49	1.46	1.94	2.43	0.00	16.99	0.97	26.21	11.17	9.71	8.25	0.00	6.80	0.97	0.49	0.00	0.49	1.94	0.00	0.00	0.97	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
148p.txt	1	97	65.25	58.16	22.64	64.85	97.00	8.25	74.23	22.68	7.22	6.19	5.15	0.00	0.00	0.00	1.03	1.03	0.00	5.15	5.15	4.12	3.09	1.03	18.56	6.19	4.12	0.00	0.00	2.06	6.19	4.12	2.06	0.00	2.06	0.00	10.31	0.00	0.00	0.00	1.03	11.34	3.09	1.03	2.06	4.12	1.03	0.00	8.25	5.15	3.09	0.00	4.12	3.09	0.00	1.03	0.00	7.22	2.06	0.00	2.06	3.09	0.00	0.00	16.49	3.09	10.31	4.12	4.12	3.09	0.00	7.22	2.06	2.06	1.03	1.03	5.15	2.06	1.03	0.00	2.06	0.00	4.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.12
518p.txt	1	141	66.74	33.52	98.87	52.37	141.00	15.60	79.43	26.24	7.09	6.38	5.67	0.00	0.71	0.00	0.00	0.71	0.00	5.67	7.09	6.38	0.00	0.00	32.62	4.26	0.00	0.00	0.71	0.00	7.09	4.26	2.84	0.00	0.71	1.42	0.71	0.00	0.00	0.00	0.00	7.80	2.13	1.42	2.84	1.42	0.00	0.00	2.84	0.71	0.71	2.13	3.55	2.13	0.00	0.00	1.42	7.09	0.00	2.13	0.71	4.26	0.71	2.13	17.73	6.38	29.79	14.89	8.51	11.35	0.71	3.55	9.93	0.00	0.00	0.71	0.71	0.00	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
631p.txt	1	72	69.30	75.64	31.19	25.77	72.00	18.06	80.56	13.89	8.33	4.17	2.78	0.00	1.39	0.00	0.00	4.17	0.00	0.00	2.78	1.39	0.00	1.39	20.83	4.17	1.39	0.00	1.39	1.39	0.00	0.00	0.00	0.00	0.00	0.00	9.72	0.00	1.39	0.00	0.00	9.72	0.00	0.00	2.78	1.39	5.56	0.00	5.56	1.39	2.78	0.00	5.56	4.17	0.00	0.00	1.39	11.11	1.39	0.00	2.78	6.94	0.00	2.78	16.67	1.39	18.06	2.78	1.39	13.89	1.39	12.50	1.39	0.00	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
261p.txt	1	146	58.86	83.12	98.98	99.00	146.00	9.59	90.41	21.92	4.11	2.05	0.68	0.68	0.00	0.00	0.68	2.05	0.00	3.42	11.64	2.05	2.74	0.68	28.77	3.42	0.00	0.68	2.05	0.00	13.01	13.01	0.00	0.00	0.00	0.00	10.96	0.00	0.00	0.00	1.37	3.42	0.00	0.68	0.68	0.00	1.37	0.68	0.00	0.00	0.00	0.00	0.68	0.00	0.68	0.00	0.00	23.97	4.11	0.00	4.79	15.07	0.00	2.05	15.75	0.68	34.25	12.33	6.85	15.07	0.68	2.05	1.37	3.42	0.00	0.68	2.74	0.00	0.00	0.00	0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
324p.txt	1	73	69.78	65.96	79.89	99.00	73.00	12.33	79.45	24.66	5.48	0.00	0.00	0.00	0.00	0.00	0.00	5.48	0.00	6.85	6.85	5.48	0.00	2.74	27.40	8.22	1.37	2.74	0.00	2.74	19.18	15.07	4.11	0.00	1.37	1.37	8.22	0.00	0.00	0.00	0.00	24.66	12.33	1.37	0.00	5.48	4.11	1.37	0.00	0.00	0.00	0.00	9.59	1.37	2.74	0.00	0.00	16.44	6.85	1.37	8.22	1.37	0.00	1.37	24.66	0.00	12.33	2.74	5.48	4.11	1.37	0.00	0.00	1.37	1.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.37
277p.txt	1	250	79.13	56.36	90.31	25.77	250.00	14.00	73.60	22.40	2.80	2.80	1.60	0.00	0.40	0.00	0.80	0.00	0.00	6.80	6.80	4.80	0.00	2.00	25.20	6.40	2.40	0.00	0.40	0.40	4.80	2.40	2.40	0.40	0.00	0.80	6.00	0.40	0.40	0.00	0.80	7.60	1.60	0.40	0.80	2.80	0.80	1.20	6.00	4.00	0.80	0.80	2.80	1.20	0.80	0.00	0.40	11.20	2.00	0.40	2.40	6.40	0.40	0.80	22.00	2.00	25.20	5.20	13.20	8.80	0.00	2.00	3.20	1.20	0.40	0.00	2.00	0.00	0.00	0.00	0.80	0.80	3.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.20
627p.txt	1	389	95.85	94.15	1.00	99.00	389.00	1.80	43.19	21.85	1.29	0.00	0.00	0.00	0.00	0.00	0.00	1.29	12.60	0.00	0.00	7.97	0.00	0.00	1.80	0.00	0.00	0.00	0.00	0.00	7.97	7.97	0.00	0.00	0.00	0.00	15.68	13.62	0.00	0.00	13.62	2.57	1.29	0.00	0.00	0.00	1.29	0.00	0.77	0.00	0.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.51	1.54	0.00	0.51	0.00	0.00	0.51	0.00	0.00	0.00	0.00	0.00	0.00	12.85	0.00	4.88	0.00	7.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
332p.txt	1	76	10.96	99.00	33.36	99.00	76.00	1.32	93.42	44.74	15.79	15.79	6.58	0.00	9.21	0.00	0.00	0.00	0.00	3.95	6.58	18.42	1.32	0.00	23.68	1.32	1.32	0.00	0.00	0.00	15.79	14.47	1.32	0.00	0.00	1.32	32.89	2.63	0.00	3.95	0.00	11.84	3.95	1.32	1.32	0.00	3.95	1.32	10.53	1.32	6.58	2.63	9.21	0.00	0.00	0.00	0.00	11.84	9.21	0.00	0.00	2.63	0.00	2.63	15.79	3.95	7.89	0.00	0.00	7.89	0.00	0.00	0.00	0.00	0.00	0.00	15.79	0.00	0.00	0.00	3.95	11.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
